timestamp,open,high,low,close,volume
2023-01-01 00:00:00,50000.01054608345,50100.03780121152,49899.445175734014,49999.27815234582,299
2023-01-01 01:00:00,50001.194874472014,50100.184075920886,49900.459141606385,49997.67641264009,343
2023-01-01 02:00:00,50001.03211494938,50101.49156470373,49901.10939712833,49996.19020335739,436
2023-01-01 03:00:00,50002.91523953818,50101.33516354474,49902.026617992815,49996.44243004571,597
2023-01-01 04:00:00,50002.269396061536,50101.63105679985,49902.621423538716,49996.385536274945,768
2023-01-01 05:00:00,50001.26714464759,50101.66586011254,49902.65141462535,49997.05272918851,875
2023-01-01 06:00:00,49998.84259429111,50101.96502133267,49903.38251441122,49997.74340305881,241
2023-01-01 07:00:00,49999.680376421245,50101.618258840404,49904.414863026745,49996.3225308863,869
2023-01-01 08:00:00,49999.394847349715,50101.4660993951,49904.93646851198,49995.46367252682,430
2023-01-01 09:00:00,49998.488171970996,50100.40882058645,49905.80976085632,49996.204437945125,274
2023-01-01 10:00:00,49998.91595047962,50102.21942976759,49906.49176679059,49994.00946032421,551
2023-01-01 11:00:00,50000.69740922964,50102.98797003082,49905.29109125025,49995.721048400614,100
2023-01-01 12:00:00,50000.12973860791,50102.33406102185,49905.39657864063,49993.7477161282,922
2023-01-01 13:00:00,50001.537214925906,50102.71460563183,49903.91313232474,49995.866859432885,493
2023-01-01 14:00:00,50002.0598747921,50103.303112099034,49902.85836032274,49996.04911405798,729
2023-01-01 15:00:00,50001.80153909186,50103.66580925499,49901.68744680585,49997.322938230755,692
2023-01-01 16:00:00,50003.48925646646,50104.580848125865,49901.019370562,49997.17784143874,744
2023-01-01 17:00:00,50004.206457422195,50105.74369361109,49900.392596610305,49997.8276150033,275
2023-01-01 18:00:00,50005.00716454163,50106.38602874796,49898.95902525171,49998.70050561685,700
2023-01-01 19:00:00,50004.38809664602,50103.94857892487,49898.48107120085,49998.182302762216,716
2023-01-01 20:00:00,50002.88098880106,50103.08401423812,49898.06179377006,49997.591611810516,448
2023-01-01 21:00:00,50002.01315521282,50105.37840537075,49896.632618900134,49997.085642336555,646
2023-01-01 22:00:00,50001.64733144066,50104.911937648634,49898.72651936147,49997.44066025386,125
2023-01-01 23:00:00,50002.47418998109,50105.36619985841,49899.71171325165,49995.56479050284,833
2023-01-02 00:00:00,50001.049362005324,50105.58368975098,49901.082439975864,49993.81178251228,638
2023-01-02 01:00:00,50002.70406137449,50107.08288541219,49899.39810569581,49993.83822017999,114
2023-01-02 02:00:00,50000.83410630924,50106.37608309777,49899.53664082969,49992.84457815536,137
